,DSRCT0,DSRCT1,DSRCT2,DSRCT3,DSRCT4,DSRCT5,DSRCT6,DSRCT7,DSRCT8,DSRCT9,DSRCT10,DSRCT11,DSRCT12,DSRCT13,DSRCT14,DSRCT15,DSRCT16,DSRCT17,DSRCT18,ERMS0,ERMS1,ERMS2,ERMS3,ERMS4,ERMS5,ERMS6,ERMS7,ERMS8,OST0,EWS0,EWS1,EWS2,EWS3,EWS4,EWS5,EWS6,EWS7,EWS8,EWS9,EWS10,EWS11,OST1,OST2,OST3,OST4,OST5,OST6,OST7,OST8,OST9,OST10,OST11,OST12,OST13,OST14,OST15,OST16,OST17,OST18,OST19,OST20,OST21,OST22,OST23,OST24,OST25,OST26,OST27,OST28,DSRCT19
DSRCT0,0.0,0.0298182456411755,0.0228099457853697,0.0558412056294736,0.0266662289085993,0.0567332780876997,0.0269591139528882,0.0282280156581923,0.0542031727274052,0.0672702084122913,0.0394009813249798,0.0752373289071016,0.0595561621557575,0.0589422558194659,0.0650244392066908,0.12027577872593,0.0632480586099318,0.0571109865837186,0.0586168884283957,0.1625336144071289,0.1019911030872287,0.1001778723662157,0.0885842007962395,0.0895390665575192,0.0961302630280346,0.0898289031007049,0.080902652865636,0.0902759928692011,0.0970958177095734,0.093050114022982,0.0938225188232219,0.08469538242234,0.1051657490364618,0.0871933881849543,0.0973463461896155,0.0894397168832731,0.0896084057458821,0.1335868896097495,0.0922059037886931,0.1001172254269219,0.1047252197177327,0.0897809314586825,0.0860186639475587,0.0907878533674687,0.0903048832138393,0.0927789440725798,0.0850823370394805,0.0935763725162392,0.0893860078682076,0.0889977908871146,0.0861550909542122,0.0893501144974503,0.0838948747667425,0.0857360242819118,0.0943036030672572,0.0985163305934105,0.0888744675390412,0.0887844333204511,0.0890380255049351,0.0966341138294402,0.1075574608992372,0.0919464333812256,0.0955761906261826,0.0988099068062285,0.0941612898734889,0.0973046802987219,0.0977485685790374,0.0977610124457859,0.0955298784680022,0.0648779398118582
DSRCT1,0.0298182456411755,0.0,0.0260978884688337,0.0528912319916445,0.0307056604844906,0.0526833276939556,0.0252822034162064,0.0242037727295911,0.0485580282476491,0.0653763725750811,0.0376986874921265,0.0724085740018758,0.0586557818295929,0.0558948499760285,0.0652549164082059,0.1223016558960656,0.0670959793868424,0.0590528687552579,0.0603257030182231,0.1615695612564698,0.1015837479679278,0.0941988461298697,0.0855185005068864,0.0912552796120556,0.0949193494579418,0.0884210600747839,0.0791978377761454,0.0915129922450614,0.0968968490443788,0.0947512551519716,0.0960103027516795,0.0829440312951705,0.1064397168283252,0.086482522356807,0.0957795977288679,0.0883800675478761,0.0904256541332192,0.130639081472437,0.0879335881953536,0.0944195553842921,0.1019476402248906,0.0945714213828452,0.0850742296100822,0.0925724099533229,0.091034519794284,0.0910239049640501,0.0866192932661281,0.0943752075971136,0.0942260192594036,0.0874264796604368,0.0844940967502419,0.0952860394428039,0.0829693032245818,0.0886690012992796,0.0970134861499027,0.1022436190553222,0.0943295650191579,0.089784787681734,0.0896987895472944,0.100945472035406,0.1081698323271078,0.0926019992138256,0.0967121983381538,0.098189073576615,0.0937857781593645,0.095088888885762,0.0913650898166229,0.1008438940258886,0.0980031673738388,0.0629485402905566
DSRCT2,0.0228099457853697,0.0260978884688337,0.0,0.0549205117886556,0.0240475056086328,0.0588349747158956,0.0315653071053558,0.0274880875273204,0.0511781716370248,0.0689656428853621,0.0433037595113849,0.073675795882597,0.0611625664745549,0.0586325534067232,0.0677196339185376,0.1232062118503757,0.0672436263718412,0.0611214311734158,0.0628028627710732,0.1628162852643277,0.1043816829668614,0.0986090890169463,0.0867159944309058,0.0913141350714468,0.0975091790899767,0.0891460352580299,0.0808593306854693,0.0923710286775517,0.0999766740968181,0.0914683964441529,0.0953566198321397,0.085026317257166,0.1039136562889685,0.0852844101258183,0.0962069410780253,0.0888486392108181,0.0904142085017063,0.1319947059401887,0.0903054472875737,0.0984945700290472,0.1031523133249054,0.0911522202748586,0.0852377391198447,0.092143726393442,0.090637903203865,0.0923263477132904,0.0860467712417638,0.0948974934151212,0.0903281604381924,0.088784445838738,0.0858740089254748,0.0914853386918309,0.0833942489337543,0.085872724698174,0.096695545513117,0.1000627125592087,0.0918621507742795,0.0900914883470716,0.090152614382835,0.0992492007575275,0.1083174435923894,0.0937454572898906,0.0960969016194587,0.0989408239885818,0.0947175183288711,0.0983870069279718,0.0960878247503592,0.0994913764902509,0.0969120696734459,0.0664521171518401
DSRCT3,0.0558412056294736,0.0528912319916445,0.0549205117886556,0.0,0.0500201233334317,0.0593939125088208,0.0517700019963048,0.0528757954743482,0.0477076344461476,0.0622883206586445,0.0548820780875898,0.0577728149121568,0.0529023738401754,0.0627118022917417,0.0584432565855088,0.1077237530651322,0.0598051998781718,0.0577539404113395,0.061122752648857,0.164393035598803,0.1027823910162792,0.0837653927455343,0.0796802312309998,0.0890648374600879,0.0974145261703698,0.0783292671304254,0.0730020147921204,0.0936347068153514,0.0969870610133707,0.0947920224591231,0.0919407763161189,0.0818765097228981,0.0991207233943058,0.0854229460963689,0.0856061582858297,0.0816863312077257,0.0839847035242014,0.1231016792327669,0.0765937624637371,0.0887369496944375,0.0922169629526045,0.0880711108508157,0.0827863701169031,0.0832325039795642,0.0829314970901419,0.0861570940729256,0.0780295801944348,0.0871779722765285,0.0864499080588534,0.080806276187639,0.0777886471342419,0.0879141187820559,0.0814470891906289,0.0832015240200309,0.0875137398780912,0.0986901568943387,0.0830690077382281,0.0834615375496242,0.0842110339387402,0.0887179835781595,0.1018775983275507,0.0836150757801637,0.0920070114877206,0.0895983187889949,0.0857017727376694,0.0903523212442216,0.0862608471630283,0.092088270441151,0.0912575050530404,0.0691744876165104
DSRCT4,0.0266662289085993,0.0307056604844906,0.0240475056086328,0.0500201233334317,0.0,0.0568815696414558,0.033463387251639,0.0261641294377411,0.0499033517322006,0.0648741069287275,0.0456851612647052,0.0686293878329535,0.0587436388666808,0.0594194661944433,0.0643336622467554,0.1163515624060975,0.0608503027493934,0.0555174386238907,0.0613199768443092,0.1614132564967181,0.1043036120447117,0.0987943053320098,0.0886730660026631,0.0895052691380972,0.0978834570332185,0.0881741560102752,0.0795146943579743,0.090769152014579,0.0996934129850332,0.0910901172646848,0.0926684153268048,0.0844972631032793,0.1030976994955366,0.0844284711098249,0.0940368875577303,0.0859956321088306,0.0878497042723908,0.1303935714357686,0.0870130212509757,0.0949605105019033,0.1021486047581107,0.0898494135690009,0.0868374995041832,0.0897421806440119,0.0892140652872294,0.0924315617870004,0.0839192753059179,0.0923000185755809,0.0895472584023069,0.0872474180405945,0.083894276235299,0.0912835740914617,0.083251019296331,0.0842105849531355,0.0938619861939285,0.0974145137085877,0.0885068652444806,0.0875747312404639,0.0893045661229516,0.0967081075724197,0.1059514402289518,0.0925323574660508,0.0941778021096288,0.098806175620881,0.0926963743700984,0.0975222785977365,0.0955603313001601,0.0964353048475404,0.0944660012015856,0.064695875102302
DSRCT5,0.0567332780876997,0.0526833276939556,0.0588349747158956,0.0593939125088208,0.0568815696414558,0.0,0.0441973461833025,0.0543466448654074,0.0558648291066878,0.0539889815473633,0.0443294239082075,0.0741487587818782,0.0417011732498357,0.0690201971724963,0.048820847964363,0.1185710739554089,0.0560315791667929,0.0518720269697926,0.0593683699023319,0.1558203992430678,0.0853269404499258,0.0877549932666414,0.0832006453808285,0.0744178751104892,0.0820098089720196,0.0760002517961816,0.0671863957184609,0.0848149096301347,0.0770597351966115,0.0994320234918988,0.0746456795732715,0.0761980058992011,0.1151317901606488,0.0874682698489225,0.0997422600888336,0.0871193428530916,0.0838662560061693,0.1328466235198846,0.0853277671687968,0.0925305114497786,0.1062242922087764,0.0821369513647101,0.0761790473686205,0.080910101611913,0.089343339957814,0.0857299884465845,0.075971565208278,0.0807480118988025,0.087494469337406,0.0799521099596826,0.0754372151922457,0.0872851634002664,0.0746518895919352,0.0781951337842299,0.0845937803449133,0.092106593526196,0.0905684897337828,0.0771360862841409,0.0828036546161113,0.0899025641705481,0.0895126549537431,0.0868331827231671,0.0812871387516534,0.0998036932831582,0.0793662586622823,0.0793405045345276,0.0851231842098153,0.0911798990356835,0.0845518208533785,0.0641470363508939
DSRCT6,0.0269591139528882,0.0252822034162064,0.0315653071053558,0.0517700019963048,0.033463387251639,0.0441973461833025,0.0,0.0295772064748719,0.0511946370400463,0.0583602753879219,0.028164366162957,0.0713142921438147,0.0515247147197006,0.0580893546872521,0.0573948904093523,0.1194675136642016,0.0597989809504209,0.0523723430595365,0.0563855443240802,0.1573293322264806,0.0919722777424076,0.0903904248939467,0.0812854828493188,0.0805473328164348,0.085906835978449,0.0800952236536286,0.0707500879861058,0.0831499064245911,0.0856715264274173,0.0946111659260421,0.0848449194345521,0.0767359218944951,0.1078840144658877,0.0846887835014686,0.096055677645447,0.0855351383486682,0.0854778746139573,0.1308414663339639,0.0862977591503042,0.0942719252537758,0.1026145976839481,0.0834233826117147,0.0767148210411817,0.0838870281162942,0.0854712677548967,0.0846083519740792,0.077926407981148,0.0851990721304437,0.086047093538316,0.0798069950825553,0.0775509516701261,0.0861287318732964,0.0753647481357406,0.0801655677592318,0.0875684724624268,0.0940271947366497,0.0877129119396519,0.0800599412375546,0.0822053977850655,0.0909842980504074,0.0987571413437693,0.0862173187842937,0.0872708041659073,0.0961742836018684,0.0851092645947062,0.0847706308048427,0.0869734349083446,0.0915960231279619,0.0881752850789401,0.0628266173395228
DSRCT7,0.0282280156581923,0.0242037727295911,0.0274880875273204,0.0528757954743482,0.0261641294377411,0.0543466448654074,0.0295772064748719,0.0,0.0497944823356389,0.0697591907096184,0.0451084190461193,0.0707920727385981,0.0620107825450193,0.0593365796657342,0.0675788352469775,0.1172291260429789,0.0646190188070547,0.0575053386237756,0.0606052709845702,0.1628146460619475,0.1059124910774953,0.0975771474589455,0.0881112441438899,0.0930492644931284,0.0987493605290638,0.0895506400097568,0.0807269867130474,0.0926465018481084,0.101270286418923,0.093616410833596,0.0961335325745839,0.0862201494506717,0.1032797154609026,0.0866424958178105,0.0930851855674425,0.0868204630762654,0.088473607638616,0.1311553910017808,0.0874356762296008,0.0924868387916701,0.1009280853005391,0.0931746361623472,0.0876918148010652,0.0910139221944265,0.0892655129175457,0.0919955077778451,0.0859892122707911,0.0952130427690624,0.0922818583579669,0.0876762428982745,0.0852140212508876,0.0931259653189001,0.0861991711709726,0.0874176900055616,0.0964708084035432,0.1008639836670011,0.090285198921402,0.0899275721065004,0.0888838937132212,0.0989768402088085,0.1097964717439167,0.0920234215535925,0.0969054720724998,0.0968343068129658,0.0959831711428688,0.0994632316524566,0.0946343409261397,0.0979177723833904,0.0956474650352273,0.0634605664976465
DSRCT8,0.0542031727274052,0.0485580282476491,0.0511781716370248,0.0477076344461476,0.0499033517322006,0.0558648291066878,0.0511946370400463,0.0497944823356389,0.0,0.068158620427552,0.0587560441164556,0.0699198368739165,0.0546457051999598,0.0619645794868441,0.0619340170682067,0.1112236118012447,0.0608182908064074,0.0576583618471925,0.0612840104172356,0.1651564411311088,0.1069349082553392,0.0895033591043239,0.0799923694150391,0.0910016372355476,0.0992053786460956,0.0844864524068247,0.0727113191462468,0.0905559531503933,0.0999844440205854,0.0900643015892009,0.0945825259429511,0.0842057129759673,0.0959172784128001,0.0819216851540703,0.0853557727062081,0.0813933934280391,0.0841573816313222,0.1243664317053782,0.0793436064031457,0.0878029787172378,0.0923489860543421,0.0934765348293135,0.0838666568095279,0.0893726091574771,0.0882331367404732,0.0880313324730911,0.0841109226989083,0.093598871687155,0.0909916373077416,0.0842554082638096,0.0807713036884846,0.0905100126997416,0.0839957388978494,0.0862736482319762,0.09489650588393,0.1001863018799411,0.0872525707517668,0.0866405211996414,0.0882307598642774,0.0955065856723006,0.1098324673828621,0.0870205871173654,0.0947678882475268,0.093095020906537,0.0929629847029661,0.0975447445812442,0.0876808203327066,0.0954036708945511,0.0962666720293776,0.0565536775727124
DSRCT9,0.0672702084122913,0.0653763725750811,0.0689656428853621,0.0622883206586445,0.0648741069287275,0.0539889815473633,0.0583602753879219,0.0697591907096184,0.068158620427552,0.0,0.0521200500557784,0.0726299808557908,0.0551989390592617,0.0746312756019117,0.0578405393570673,0.1314882176687765,0.0686883069733381,0.0660411835084498,0.0677115386078053,0.1554547528947389,0.0874631148275396,0.0928983791695532,0.093900073514314,0.0801805332746154,0.0859031937312901,0.0828533529922527,0.0795238453470719,0.0969225933796598,0.0803890759477447,0.1081981930222948,0.081749550246821,0.0836840524510903,0.1260848790612615,0.094315280746542,0.1106072265921174,0.0973300900809549,0.0999365985769827,0.1366535538106393,0.0949322914423954,0.1056578157273844,0.1173958038148703,0.0884137016680185,0.0863848905568078,0.0914887616480323,0.1018975445998188,0.0987081576436181,0.0859010891706842,0.0836744022365586,0.0982317891155653,0.0923699652558621,0.086249251013406,0.0989838859535054,0.0815450097414969,0.0874782526817195,0.089126349559356,0.0957806509249865,0.1001925861455168,0.0826140388685344,0.0944358625519855,0.0976829051503507,0.0907306641658971,0.0975924380919158,0.0903258267837836,0.1120840838028103,0.0817330566888372,0.0782068585635038,0.0979601742432331,0.1032411038145835,0.0959073988936197,0.0851720670024552
